L5,-17.59,-9.58,180.00,68uH,MLP2016SR47MT0S1_INDC2016X100N
L7,-15.58,10.32,90.00,MLP2016SR47MT0S1_FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,-13.40,-10.01,180.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,-15.42,-11.00,90.00,ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,-13.77,12.64,180.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R18,-13.11,12.65,180.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R1_EP_DR,-15.02,-13.22,90.00,0.47,ERA-1AEB3401C_0201
R1_USB,0.51,9.11,180.00,5K1,ERA-1AEB3401C_0201
R2,-12.34,12.62,0.00,0,ERA-1AEB3401C_0201
R2_EP_DR,-16.75,-12.28,0.00,10K,ERA-1AEB3401C_0201
R2_USB,-2.72,8.94,0.00,5K1,ERA-1AEB3401C_0201
R3,-6.84,6.34,90.00,0,ERA-1AEB3401C_0201
R4,-11.70,12.64,0.00,0,ERA-1AEB3401C_0201
R5,7.86,-12.48,270.00,10K,ERA-1AEB3401C_0201
R7,-11.67,-11.91,180.00,10K,ERA-1AEB3401C_0201
R8,-4.06,-13.05,180.00,10K,ERA-1AEB3401C_0201
R9,-8.37,10.98,180.00,10K,ERA-1AEB3401C_0201
R_PWR_EPD,-13.34,-9.10,0.00,10K,ERA-1AEB3401C_0201
R_TYPE_SEL,-15.28,-14.14,180.00,2.2,ERA-1AEB3401C_0201
SJ1,-16.43,-14.27,270.00,0,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,-11.73,-13.92,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,-0.96,-13.93,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,10.36,-13.92,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP1,4.41,3.49,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP2,6.86,10.95,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP3,16.10,14.44,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP4,18.51,13.62,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP5,6.34,7.14,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP6,6.36,1.54,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,7.60,-3.93,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,-8.56,2.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,-2.14,2.02,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,-14.83,14.83,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,-9.84,11.04,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,-8.80,14.80,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-11.46,14.75,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,0.67,-4.93,180.00,NRF52840-QIAA-R,NRF52840-QIAA
U3,-9.23,7.23,270.00,ESP32_C6_LIBRARY_MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,-5.78,-9.72,180.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,7.87,-7.39,90.00,32.768kH,NORDIC_NRF_1_XTAL_3215_N
